order_item_id,order_id,product_id,quantity,price_per_unit,total_price
1,1,548,2,67.64,135.28
2,2,32,5,18.49,92.45
3,3,285,1,96.2,96.2
4,4,218,3,108.06,324.18
5,5,685,5,88.4,442.0
6,6,13,5,446.04,2230.2
7,7,444,1,298.41,298.41
8,8,622,4,125.5,502.0
9,9,611,4,303.31,1213.24
10,10,590,4,91.21,364.84
11,11,139,3,204.04,612.12
12,12,345,2,49.36,98.72
13,13,569,3,266.2,798.6
14,14,113,2,286.4,572.8
15,15,372,4,88.42,353.68
16,16,625,3,32.58,97.74
17,17,540,1,23.57,23.57
18,18,306,3,82.11,246.33
19,19,44,4,301.43,1205.72
20,20,210,3,111.74,335.22
21,21,387,4,205.74,822.96
22,22,307,5,287.24,1436.2
23,23,15,5,229.09,1145.45
24,24,330,4,307.69,1230.76
25,25,656,2,97.37,194.74
26,26,587,3,93.65,280.95
27,27,694,1,80.99,80.99
28,28,345,5,49.36,246.8
29,29,644,5,81.14,405.7
30,30,47,2,67.56,135.12
31,31,674,4,37.62,150.48
32,32,2,2,240.06,480.12
33,33,632,3,488.5,1465.5
34,34,277,2,281.98,563.96
35,35,667,1,177.02,177.02
36,36,239,1,42.5,42.5
37,37,363,5,209.33,1046.65
38,38,615,2,215.29,430.58
39,39,341,5,68.55,342.75
40,40,288,5,141.22,706.1
41,41,18,4,87.33,349.32
42,42,196,3,54.79,164.37
43,43,158,1,165.61,165.61
44,44,233,1,60.69,60.69
45,45,578,4,29.22,116.88
46,46,681,4,343.01,1372.04
47,47,483,3,33.4,100.2
48,48,546,4,169.32,677.28
49,49,472,3,276.9,830.7
50,50,625,3,32.58,97.74
51,51,117,3,104.05,312.15
52,52,69,5,149.79,748.95
53,53,436,3,55.74,167.22
54,54,536,2,79.7,159.4
55,55,207,1,198.87,198.87
56,56,513,5,274.42,1372.1
57,57,133,5,81.36,406.8
58,58,328,5,86.6,433.0
59,59,406,5,94.03,470.15
60,60,284,1,375.92,375.92
61,61,585,4,65.29,261.16
62,62,163,2,253.93,507.86
63,63,663,2,358.49,716.98
64,64,173,4,70.08,280.32
65,65,32,3,18.49,55.47
66,66,562,4,52.73,210.92
67,67,638,3,429.46,1288.38
68,68,170,4,80.52,322.08
69,69,431,4,230.82,923.28
70,70,300,5,50.14,250.7
71,71,215,1,166.44,166.44
72,72,455,2,32.03,64.06
73,73,3,4,131.58,526.32
74,74,413,2,57.05,114.1
75,75,605,2,79.62,159.24
76,76,673,1,25.85,25.85
77,77,381,1,174.91,174.91
78,78,543,1,49.83,49.83
79,79,480,5,64.05,320.25
80,80,513,2,274.42,548.84
81,81,302,2,208.18,416.36
82,82,391,3,46.91,140.73
83,83,349,5,22.22,111.1
84,84,320,4,145.89,583.56
85,85,638,5,429.46,2147.3
86,86,608,1,141.05,141.05
87,87,431,2,230.82,461.64
88,88,242,2,265.03,530.06
89,89,472,2,276.9,553.8
90,90,226,4,82.94,331.76
91,91,122,4,87.97,351.88
92,92,640,5,97.53,487.65
93,93,594,1,20.65,20.65
94,94,156,2,253.19,506.38
95,95,234,4,63.43,253.72
96,96,696,5,209.36,1046.8
97,97,58,1,63.85,63.85
98,98,439,3,74.42,223.26
99,99,280,5,189.68,948.4
100,100,643,4,30.68,122.72
101,101,57,5,75.48,377.4
102,102,288,4,141.22,564.88
103,103,458,5,185.92,929.6
104,104,331,3,22.93,68.79
105,105,73,4,29.23,116.92
106,106,431,4,230.82,923.28
107,107,322,3,96.27,288.81
108,108,208,5,423.74,2118.7
109,109,538,1,161.0,161.0
110,110,558,5,34.86,174.3
111,111,640,1,97.53,97.53
112,112,464,2,100.75,201.5
113,113,474,5,185.1,925.5
114,114,68,3,93.74,281.22
115,115,598,1,54.24,54.24
116,116,329,4,71.9,287.6
117,117,617,1,23.62,23.62
118,118,572,5,69.29,346.45
119,119,310,3,108.05,324.15
120,120,523,5,154.18,770.9
121,121,643,4,30.68,122.72
122,122,172,4,12.6,50.4
123,123,564,2,42.49,84.98
124,124,518,3,41.84,125.52
125,125,564,5,42.49,212.45
126,126,454,4,83.65,334.6
127,127,211,5,313.87,1569.35
128,128,24,2,102.24,204.48
129,129,18,4,87.33,349.32
130,130,409,1,279.48,279.48
131,131,155,2,152.54,305.08
132,132,608,4,141.05,564.2
133,133,698,1,218.98,218.98
134,134,185,1,89.58,89.58
135,135,647,5,25.9,129.5
136,136,29,3,502.71,1508.13
137,137,91,5,137.94,689.7
138,138,560,1,76.94,76.94
139,139,159,5,58.6,293.0
140,140,663,5,358.49,1792.45
141,141,536,4,79.7,318.8
142,142,672,1,66.06,66.06
143,143,524,2,111.12,222.24
144,144,28,4,15.72,62.88
