order_id,order_date,customer_id,seller_id,order_status
1,2022-11-17,640,46,Shipped
2,2022-02-09,704,23,Returned
3,2021-11-17,136,46,Returned
4,2024-11-30,183,33,Cancelled
5,2022-04-27,711,41,Shipped
6,2024-01-19,728,8,Shipped
7,2021-11-12,576,31,Cancelled
8,2024-08-15,585,43,Returned
9,2021-08-19,428,44,Returned
10,2023-09-16,862,35,Shipped
11,2021-03-24,899,55,Delivered
12,2023-03-23,828,1,Cancelled
13,2021-03-10,110,2,Delivered
14,2024-01-11,149,4,Returned
15,2023-02-12,58,13,Shipped
16,2024-03-29,769,51,Processing
17,2023-12-24,294,44,Shipped
18,2022-11-17,150,54,Pending
19,2022-05-11,708,51,Shipped
20,2023-01-16,209,49,Cancelled
21,2021-06-01,34,23,Delivered
22,2024-11-27,105,40,Returned
23,2024-03-09,758,36,Processing
24,2022-08-03,761,42,Cancelled
25,2023-12-30,399,16,Cancelled
26,2022-10-18,804,51,Returned
27,2022-08-05,295,45,Returned
28,2023-09-12,49,25,Delivered
29,2021-10-20,427,51,Returned
30,2023-03-13,321,36,Pending
31,2023-03-22,14,48,Shipped
32,2024-10-13,208,40,Delivered
33,2024-07-15,850,15,Returned
34,2022-12-25,722,46,Returned
35,2023-09-08,377,49,Cancelled
36,2023-02-20,560,48,Cancelled
37,2021-03-02,202,50,Returned
38,2021-01-16,199,19,Delivered
39,2023-01-23,182,44,Pending
40,2022-10-23,192,12,Returned
41,2023-12-25,527,8,Delivered
42,2021-12-21,42,28,Shipped
43,2021-11-13,570,17,Processing
44,2021-01-25,165,38,Shipped
45,2021-04-19,6,22,Delivered
46,2022-12-12,727,10,Pending
47,2024-02-11,158,21,Cancelled
48,2021-11-06,53,50,Returned
49,2022-12-14,631,54,Returned
50,2024-04-26,309,32,Cancelled
51,2021-09-16,564,23,Pending
52,2021-06-16,803,46,Shipped
53,2023-12-17,539,15,Processing
54,2023-10-10,534,5,Cancelled
55,2022-05-06,164,27,Cancelled
56,2023-05-02,550,26,Pending
57,2021-11-26,358,15,Processing
58,2024-01-27,680,22,Shipped
59,2021-05-28,370,19,Processing
60,2022-12-15,771,40,Cancelled
61,2021-10-28,487,36,Returned
62,2024-09-15,10,8,Returned
63,2022-04-24,355,29,Processing
64,2022-12-27,658,40,Cancelled
65,2021-12-31,250,3,Returned
66,2021-05-06,329,25,Pending
67,2021-06-14,396,17,Cancelled
68,2024-10-10,742,19,Pending
69,2024-05-09,530,53,Shipped
70,2023-04-16,527,52,Cancelled
71,2021-03-29,457,32,Pending
72,2024-12-22,304,42,Processing
73,2023-10-29,329,33,Pending
74,2021-05-16,99,11,Cancelled
75,2022-05-11,547,1,Returned
76,2021-08-06,68,14,Returned
77,2022-02-14,645,50,Processing
78,2021-11-03,886,44,Delivered
79,2022-02-12,856,7,Processing
80,2021-12-03,551,54,Returned
81,2022-05-11,900,48,Delivered
82,2024-01-12,663,53,Pending
83,2022-07-20,765,44,Processing
84,2022-05-31,25,30,Returned
85,2024-03-10,340,3,Pending
86,2023-06-05,76,4,Processing
87,2023-12-25,814,17,Cancelled
88,2024-04-28,73,37,Processing
89,2024-12-27,265,27,Delivered
90,2024-07-04,462,41,Delivered
91,2022-05-30,444,21,Pending
92,2023-09-30,399,44,Pending
93,2021-11-17,548,1,Returned
94,2023-02-26,738,40,Pending
95,2023-11-06,775,48,Cancelled
96,2023-12-21,47,45,Pending
97,2022-01-12,367,33,Pending
98,2022-07-14,297,51,Returned
99,2024-08-30,309,39,Pending
100,2021-02-28,289,49,Delivered
101,2023-04-16,391,26,Returned
102,2023-11-14,32,31,Processing
103,2022-03-10,547,15,Processing
104,2023-05-31,765,26,Cancelled
105,2021-11-28,303,41,Processing
106,2024-10-02,306,44,Returned
107,2023-10-23,664,24,Pending
108,2024-06-06,567,36,Processing
109,2021-01-28,127,3,Pending
110,2022-11-15,587,39,Delivered
111,2021-03-24,551,36,Pending
112,2023-07-21,313,14,Returned
113,2021-01-17,760,47,Shipped
114,2022-04-14,217,27,Returned
115,2021-01-08,872,33,Processing
116,2024-05-02,165,12,Processing
117,2021-05-04,632,54,Shipped
118,2023-02-25,199,8,Processing
119,2024-08-10,688,52,Cancelled
120,2021-12-31,873,4,Cancelled
121,2024-11-13,473,42,Cancelled
122,2023-02-10,75,19,Returned
123,2022-02-27,69,17,Pending
124,2022-11-08,203,47,Cancelled
125,2022-08-07,499,22,Shipped
126,2021-01-11,132,43,Returned
127,2023-11-05,241,7,Shipped
128,2023-06-24,635,5,Processing
129,2024-09-09,326,32,Delivered
130,2024-09-08,337,40,Returned
131,2024-03-02,314,45,Cancelled
132,2022-08-19,157,37,Cancelled
133,2022-10-31,374,52,Shipped
134,2021-05-07,439,11,Pending
