payment_id,order_id,payment_date,payment_mode,payment_status
1,1,2022-11-19,Gift Card,Completed
2,2,2022-02-10,Gift Card,Completed
3,3,2021-11-17,PayPal,Completed
4,4,2024-12-01,PayPal,Completed
5,5,2022-04-29,Debit Card,Failed
6,6,2024-01-19,Debit Card,Completed
7,7,2021-11-12,Credit Card,Completed
8,8,2024-08-15,PayPal,Failed
9,9,2021-08-20,PayPal,Completed
10,10,2023-09-16,Amazon Pay,Completed
11,11,2021-03-26,Credit Card,Completed
12,12,2023-03-25,Credit Card,Failed
13,13,2021-03-12,PayPal,Completed
14,14,2024-01-12,Credit Card,Completed
15,15,2023-02-13,Credit Card,Completed
16,16,2024-03-30,PayPal,Failed
17,17,2023-12-24,PayPal,Completed
18,18,2022-11-18,Credit Card,Completed
19,19,2022-05-13,Gift Card,Pending
20,20,2023-01-18,Amazon Pay,Failed
21,21,2021-06-03,Gift Card,Completed
22,22,2024-11-29,Amazon Pay,Completed
23,23,2024-03-10,Gift Card,Completed
24,24,2022-08-04,PayPal,Completed
25,25,2024-01-01,Gift Card,Completed
26,26,2022-10-20,Debit Card,Completed
27,27,2022-08-06,Debit Card,Completed
28,28,2023-09-13,PayPal,Completed
29,29,2021-10-20,PayPal,Completed
30,30,2023-03-15,Credit Card,Completed
31,31,2023-03-24,Debit Card,Completed
32,32,2024-10-13,PayPal,Completed
33,33,2024-07-17,Debit Card,Completed
34,34,2022-12-27,Gift Card,Completed
35,35,2023-09-10,Amazon Pay,Completed
36,36,2023-02-20,Gift Card,Failed
37,37,2021-03-02,Credit Card,Completed
38,38,2021-01-16,Gift Card,Completed
39,39,2023-01-25,Gift Card,Failed
40,40,2022-10-25,Gift Card,Completed
41,41,2023-12-27,Amazon Pay,Completed
42,42,2021-12-21,PayPal,Pending
43,43,2021-11-13,Gift Card,Completed
44,44,2021-01-27,Amazon Pay,Failed
45,45,2021-04-21,Gift Card,Completed
46,46,2022-12-12,Credit Card,Completed
47,47,2024-02-11,Gift Card,Completed
48,48,2021-11-06,Amazon Pay,Completed
49,49,2022-12-16,Gift Card,Pending
