shipping_id,order_id,shipping_date,shipping_provider,delivery_status
1,1,2022-11-26,FedEx,Shipped
2,2,2022-02-19,USPS,Processing
3,3,2021-11-25,Bluedart,Returned
4,4,2024-12-07,DHL,Pending
5,5,2022-05-02,FedEx,Pending
6,6,2024-01-28,Amazon Logistics,Pending
7,7,2021-11-21,FedEx,Shipped
8,8,2024-08-20,Bluedart,Delivered
9,9,2021-08-29,DHL,Returned
10,10,2023-09-26,FedEx,Processing
11,11,2021-03-30,Amazon Logistics,Out for Delivery
12,12,2023-03-31,UPS,Shipped
13,13,2021-03-17,Amazon Logistics,Returned
14,14,2024-01-18,USPS,Out for Delivery
15,15,2023-02-19,UPS,Pending
16,16,2024-04-01,Bluedart,Shipped
17,17,2024-01-02,Bluedart,Pending
18,18,2022-11-26,DHL,Delivered
19,19,2022-05-17,USPS,Out for Delivery
20,20,2023-01-22,UPS,Returned
21,21,2021-06-10,UPS,Returned
22,22,2024-12-07,Amazon Logistics,Shipped
23,23,2024-03-12,FedEx,Out for Delivery
24,24,2022-08-07,USPS,Pending
25,25,2024-01-07,USPS,Delivered
26,26,2022-10-26,Amazon Logistics,Pending
27,27,2022-08-09,FedEx,Shipped
28,28,2023-09-15,UPS,Pending
29,29,2021-10-30,UPS,Shipped
30,30,2023-03-19,Amazon Logistics,Pending
31,31,2023-03-29,DHL,Pending
32,32,2024-10-17,Bluedart,Shipped
33,33,2024-07-21,Amazon Logistics,Out for Delivery
34,34,2022-12-30,FedEx,Delivered
35,35,2023-09-13,FedEx,Processing
36,36,2023-02-24,UPS,Returned
37,37,2021-03-12,Bluedart,Pending
38,38,2021-01-19,USPS,Processing
39,39,2023-01-28,Amazon Logistics,Returned
40,40,2022-10-30,FedEx,Returned
41,41,2024-01-04,Bluedart,Returned
42,42,2021-12-27,DHL,Processing
43,43,2021-11-20,FedEx,Shipped
44,44,2021-02-04,FedEx,Processing
45,45,2021-04-28,DHL,Processing
46,46,2022-12-18,FedEx,Shipped
47,47,2024-02-17,DHL,Pending
48,48,2021-11-12,FedEx,Returned
49,49,2022-12-24,UPS,Out for Delivery
50,50,2024-05-04,USPS,Returned
51,51,2021-09-23,UPS,Out for Delivery
52,52,2021-06-22,Bluedart,Pending
53,53,2023-12-21,Amazon Logistics,Returned
54,54,2023-10-15,Bluedart,Processing
55,55,2022-05-13,FedEx,Delivered
56,56,2023-05-11,USPS,Delivered
57,57,2021-12-06,FedEx,Delivered
58,58,2024-02-02,Amazon Logistics,Processing
59,59,2021-06-07,Amazon Logistics,Delivered
60,60,2022-12-18,Amazon Logistics,Processing
61,61,2021-11-03,DHL,Delivered
62,62,2024-09-23,USPS,Shipped
63,63,2022-05-02,Bluedart,Delivered
64,64,2023-01-03,Bluedart,Shipped
65,65,2022-01-05,Amazon Logistics,Returned
66,66,2021-05-16,DHL,Processing
67,67,2021-06-23,FedEx,Processing
68,68,2024-10-16,USPS,Delivered
69,69,2024-05-15,Bluedart,Shipped
70,70,2023-04-24,DHL,Returned
71,71,2021-04-04,USPS,Pending
72,72,2024-12-28,FedEx,Pending
73,73,2023-11-02,DHL,Shipped
74,74,2021-05-22,DHL,Shipped
75,75,2022-05-19,Bluedart,Returned
76,76,2021-08-15,USPS,Out for Delivery
77,77,2022-02-17,UPS,Out for Delivery
78,78,2021-11-07,Bluedart,Pending
79,79,2022-02-18,FedEx,Processing
80,80,2021-12-11,Bluedart,Returned
81,81,2022-05-19,UPS,Processing
82,82,2024-01-20,USPS,Pending
83,83,2022-07-23,FedEx,Returned
84,84,2022-06-07,DHL,Processing
85,85,2024-03-15,Bluedart,Returned
86,86,2023-06-10,UPS,Out for Delivery
87,87,2023-12-31,Amazon Logistics,Processing
88,88,2024-05-03,UPS,Out for Delivery
89,89,2025-01-05,Amazon Logistics,Returned
90,90,2024-07-13,UPS,Out for Delivery
91,91,2022-06-02,DHL,Shipped
92,92,2023-10-09,Amazon Logistics,Returned
93,93,2021-11-27,DHL,Delivered
94,94,2023-03-02,Amazon Logistics,Delivered
95,95,2023-11-14,UPS,Pending
96,96,2023-12-24,Amazon Logistics,Shipped
97,97,2022-01-18,FedEx,Shipped
98,98,2022-07-17,FedEx,Processing
99,99,2024-09-09,FedEx,Delivered
100,100,2021-03-09,Amazon Logistics,Returned
101,101,2023-04-25,Bluedart,Returned
102,102,2023-11-19,FedEx,Returned
103,103,2022-03-13,USPS,Processing
104,104,2023-06-06,Amazon Logistics,Returned
105,105,2021-12-07,Amazon Logistics,Pending
106,106,2024-10-06,DHL,Out for Delivery
107,107,2023-10-30,UPS,Pending
108,108,2024-06-14,USPS,Returned
109,109,2021-02-04,USPS,Delivered
110,110,2022-11-20,DHL,Shipped
111,111,2021-04-03,DHL,Delivered
112,112,2023-07-24,UPS,Shipped
113,113,2021-01-27,FedEx,Out for Delivery
114,114,2022-04-17,Amazon Logistics,Delivered
115,115,2021-01-15,Bluedart,Processing
116,116,2024-05-06,USPS,Delivered
117,117,2021-05-14,UPS,Shipped
118,118,2023-03-03,Amazon Logistics,Returned
119,119,2024-08-16,FedEx,Delivered
120,120,2022-01-03,Bluedart,Shipped
121,121,2024-11-18,FedEx,Processing
122,122,2023-02-19,UPS,Pending
123,123,2022-03-02,Amazon Logistics,Out for Delivery
124,124,2022-11-13,Amazon Logistics,Delivered
125,125,2022-08-13,FedEx,Pending
126,126,2021-01-16,Bluedart,Pending
127,127,2023-11-08,UPS,Pending
128,128,2023-07-03,Bluedart,Delivered
129,129,2024-09-19,USPS,Delivered
130,130,2024-09-18,USPS,Returned
131,131,2024-03-07,Amazon Logistics,Out for Delivery
132,132,2022-08-29,DHL,Out for Delivery
133,133,2022-11-06,UPS,Pending
134,134,2021-05-14,UPS,Delivered
135,135,2022-06-01,FedEx,Out for Delivery
136,136,2024-05-09,FedEx,Processing
137,137,2023-11-12,Bluedart,Processing
138,138,2022-01-26,FedEx,Processing
139,139,2023-08-13,DHL,Shipped
140,140,2022-04-29,USPS,Shipped
141,141,2023-04-02,UPS,Out for Delivery
142,142,2022-08-19,FedEx,Out for Delivery
143,143,2024-03-12,UPS,Out for Delivery
144,144,2021-11-18,Amazon Logistics,Out for Delivery
145,145,2022-07-09,UPS,Out for Delivery
146,146,2023-11-29,FedEx,Returned
147,147,2025-01-06,Amazon Logistics,Shipped
148,148,2024-02-12,Amazon Logistics,Pending
149,149,2022-04-08,UPS,Processing
150,150,2024-01-22,USPS,Out for Delivery
151,151,2024-07-07,Bluedart,Processing
152,152,2024-12-31,USPS,Delivered
153,153,2021-03-27,USPS,Processing
154,154,2021-10-20,USPS,Processing
155,155,2023-11-15,UPS,Pending
156,156,2023-09-15,USPS,Processing
157,157,2023-03-31,USPS,Out for Delivery
158,158,2022-11-12,DHL,Out for Delivery
159,159,2021-04-06,UPS,Returned
160,160,2024-02-28,UPS,Out for Delivery
161,161,2022-10-12,FedEx,Pending
162,162,2022-01-06,FedEx,Delivered
163,163,2024-08-07,Amazon Logistics,Pending
164,164,2024-06-14,DHL,Delivered
165,165,2023-04-24,DHL,Delivered
166,166,2021-11-21,FedEx,Out for Delivery
167,167,2022-08-11,Amazon Logistics,Shipped
168,168,2024-11-14,UPS,Out for Delivery
169,169,2022-01-23,Bluedart,Returned
170,170,2021-06-14,USPS,Out for Delivery
171,171,2024-06-03,Amazon Logistics,Shipped
172,172,2021-08-24,USPS,Out for Delivery
173,173,2022-03-14,USPS,Delivered
174,174,2021-01-13,FedEx,Out for Delivery
175,175,2024-12-25,DHL,Delivered
176,176,2023-10-28,Amazon Logistics,Processing
177,177,2022-09-16,USPS,Out for Delivery
178,178,2023-05-10,USPS,Out for Delivery
179,179,2023-09-16,FedEx,Out for Delivery
180,180,2023-07-09,USPS,Processing
181,181,2023-05-11,FedEx,Returned
182,182,2024-05-10,UPS,Shipped
183,183,2021-09-13,FedEx,Shipped
184,184,2024-04-10,Bluedart,Pending
185,185,2021-12-06,DHL,Processing
186,186,2022-10-16,DHL,Delivered
187,187,2021-06-05,UPS,Processing
188,188,2024-05-29,USPS,Processing
189,189,2022-10-27,DHL,Delivered
190,190,2024-07-11,Bluedart,Pending
191,191,2023-09-30,USPS,Processing
192,192,2021-07-02,Amazon Logistics,Shipped
193,193,2024-01-07,Amazon Logistics,Shipped
194,194,2024-07-27,DHL,Processing
195,195,2021-03-29,UPS,Pending
196,196,2021-02-23,Amazon Logistics,Delivered
197,197,2024-09-11,Bluedart,Delivered
198,198,2024-06-13,DHL,Returned
199,199,2024-02-08,DHL,Processing
200,200,2021-08-04,Bluedart,Out for Delivery
201,201,2023-09-05,UPS,Processing
202,202,2021-05-04,USPS,Out for Delivery
203,203,2023-05-05,USPS,Processing
204,204,2024-10-01,UPS,Shipped
205,205,2023-12-08,DHL,Out for Delivery
206,206,2022-02-02,UPS,Pending
207,207,2024-10-19,USPS,Pending
208,208,2024-12-31,FedEx,Shipped
209,209,2022-06-21,Bluedart,Processing
210,210,2023-02-24,USPS,Shipped
211,211,2022-12-14,Bluedart,Processing
212,212,2021-02-23,FedEx,Pending
213,213,2023-07-04,DHL,Pending
214,214,2021-10-06,UPS,Returned
215,215,2021-03-27,DHL,Processing
216,216,2023-07-04,Amazon Logistics,Pending
217,217,2022-05-02,Bluedart,Out for Delivery
218,218,2022-01-20,UPS,Shipped
219,219,2024-02-13,UPS,Pending
220,220,2023-04-08,FedEx,Returned
221,221,2021-09-04,USPS,Delivered
222,222,2021-10-30,USPS,Delivered
223,223,2021-02-13,DHL,Pending
224,224,2021-03-18,FedEx,Delivered
225,225,2023-09-25,Amazon Logistics,Processing
226,226,2022-07-27,FedEx,Shipped
227,227,2021-05-14,DHL,Shipped
228,228,2021-05-01,USPS,Returned
229,229,2024-12-25,UPS,Delivered
